LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
100001,SUEZ_Los Changos 220->Kapatur 220 I,T,MesNov-2017,*,Los Changos 220,Kapatur 220,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,220,0.035,0.6,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,2.5
100002,SUEZ_Los Changos 220->Kapatur 220 II,T,MesNov-2017,*,Los Changos 220,Kapatur 220,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,220,0.035,0.6,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,2.5
100003,Los Changos 500->Kimal 500 I,T,MesDic-2020,MesAbr-2029,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
100004,Los Changos 500->Kimal 500 II,T,MesDic-2020,MesAbr-2029,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
100005,Los Changos 500->Kimal 500 III,T,MesMay-2029,*,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,900,900,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
100006,Los Changos 500->Kimal 500 IV,T,MesMay-2029,*,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,900,900,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
200001,Chapiquiña 066->El Aguila 066,T,*,*,Chapiquiña 066,El Aguila 066,*,T,T,101,T,F,20.58,20.58,F,F,T,20.58,20.58,66,8.7838,15.4105,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,37
200002,El Aguila 066->Arica 066,T,*,MesMar-2026,El Aguila 066,Arica 066,BarB,T,T,101,T,F,20.58,20.58,F,F,T,20.58,20.58,66,11.1578,19.5755,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,47
200003,Arica Diesel 066->Tap Quiani 066,T,*,*,Arica Diesel 066,Tap Quiani 066,BarB,T,T,101,T,F,16.46,16.46,F,F,T,16.46,16.46,66,0.95648,1.35648,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,3.2
200004,Pozo Almonte 220->Pozo Almonte CMCC 110,T,*,*,Pozo Almonte 220,Pozo Almonte CMCC 110,BarB,T,T,101,T,F,100,100,F,F,T,100,100,220,0,64.250998,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/115
200005,Pozo Almonte CMCC 110->Cerro Colorado 110,T,*,*,Pozo Almonte CMCC 110,Cerro Colorado 110,*,T,T,101,T,F,57.16,57.16,F,F,T,57.16,57.16,110,6.0878,24.3451,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,61
200006,Iquique 066->Pozo Almonte 066 I,T,*,*,Iquique 066,Pozo Almonte 066,*,T,T,101,T,F,18.29,18.29,F,F,T,18.29,18.29,66,13.1061606,18.86572087,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,43.600.002
200007,Iquique 066->Pozo Almonte 066 II,T,*,*,Iquique 066,Pozo Almonte 066,*,T,T,101,T,F,29.72,29.72,F,F,T,29.72,29.72,66,9.2272,16.01725,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,39.5
200008,Iquique Diesel 066->Iquique 066,T,*,*,Iquique Diesel 066,Iquique 066,BarB,T,T,101,T,F,41.15,41.15,F,F,T,41.15,41.15,66,0.37984,0.652,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,1.6
200009,Tarapaca Aux 220->Lagunas 220 I,T,*,MesJul-2020,Tarapaca Aux 220,Lagunas 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,2.7328,21.812,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,56
200010,Tarapaca Aux 220->Lagunas 220 II,T,*,MesJul-2020,Tarapaca Aux 220,Lagunas 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,2.7328,21.812,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,56
200011,Lagunas Aux 4 220->Collahuasi 220 I,T,*,*,Lagunas Aux 4 220,Collahuasi 220,*,T,T,101,T,F,109,109,F,F,T,109,109,220,9.44,47.4832,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,118
200012,Lagunas Aux 4 220->Collahuasi 220 II,T,*,*,Lagunas Aux 4 220,Collahuasi 220,*,T,T,101,T,F,109,109,F,F,T,109,109,220,9.3574,46.6218,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,118
200013,Collahuasi 220->Quebrada Blanca 220,T,*,MesDic-2020,Collahuasi 220,Quebrada Blanca 220,BarA,T,T,101,T,F,57.16,57.16,F,F,T,57.16,57.16,220,1.50246,9.747,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,18
200014,Encuentro Aux 2 220->Collahuasi 2 220 I,T,*,*,Encuentro Aux 2 220,Collahuasi 2 220,*,T,T,101,T,F,133.4,133.4,F,F,T,133.4,133.4,220,18.02619536,82.27598663,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,201.410.004
