LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
1,T,*,MesDic-2023,*,F,Los Changos 500->Cumbre 500 I,*,*,*,*,*,*,*,*,*,*,*,35.92203398,*,*,*,*
2,T,*,MesDic-2023,*,F,Los Changos 500->Cumbre 500 II,*,*,*,*,*,*,*,*,*,*,*,35.92203398,*,*,*,*
3,T,MesEne-2024,MesAbr-2029,*,F,Los Changos 500->Parinas 500 I,*,*,*,*,*,*,*,*,*,*,*,30.15274575,*,*,*,*
4,T,MesEne-2024,MesAbr-2029,*,F,Los Changos 500->Parinas 500 II,*,*,*,*,*,*,*,*,*,*,*,30.15274575,*,*,*,*
5,F,MesAbr-2027,MesAbr-2029,*,F,Los Changos 500->Parinas 500 III,*,*,*,*,*,*,*,*,*,*,*,30.15274575,*,*,*,*
6,F,MesAbr-2027,MesAbr-2029,*,F,Los Changos 500->Parinas 500 IV,*,*,*,*,*,*,*,*,*,*,*,30.15274575,*,*,*,*
7,T,MesEne-2024,MesAbr-2029,*,F,Parinas 500->Cumbre 500 I,*,*,*,*,*,*,*,*,*,*,*,7.2841644,*,*,*,*
8,T,MesEne-2024,MesAbr-2029,*,F,Parinas 500->Cumbre 500 II,*,*,*,*,*,*,*,*,*,*,*,7.2841644,*,*,*,*
9,F,MesAbr-2027,MesAbr-2029,*,F,Parinas 500->Cumbre 500 III,*,*,*,*,*,*,*,*,*,*,*,7.2841644,*,*,*,*
10,F,MesAbr-2027,MesAbr-2029,*,F,Parinas 500->Cumbre 500 IV,*,*,*,*,*,*,*,*,*,*,*,7.2841644,*,*,*,*
11,T,*,MesAbr-2029,*,F,Cumbre 500->Nueva Cardones 500 I,*,*,*,*,*,*,*,*,*,*,*,22.050691,*,*,*,*
12,T,*,MesAbr-2029,*,F,Cumbre 500->Nueva Cardones 500 II,*,*,*,*,*,*,*,*,*,*,*,22.050691,*,*,*,*
13,F,MesAbr-2027,MesAbr-2029,*,F,Cumbre 500->Nueva Cardones 500 III,*,*,*,*,*,*,*,*,*,*,*,22.050691,*,*,*,*
14,F,MesAbr-2027,MesAbr-2029,*,F,Cumbre 500->Nueva Cardones 500 IV,*,*,*,*,*,*,*,*,*,*,*,22.050691,*,*,*,*
15,T,*,*,*,F,Nueva Maitencillo Aux 500->Nueva Pan de Azucar 500 I,*,*,*,*,*,*,*,*,*,*,*,25.5059212,*,*,*,*
